id,class
1,E
2,E
3,E
4,E
5,E
6,E
7,E
8,B
9,E
10,B
11,E
12,E
13,B
14,B
15,E
16,E
17,E
18,E
19,E
20,B
21,B
22,E
23,B
24,B
25,E
26,E
27,E
28,E
29,B
30,E
31,E
32,B
33,A
34,E
35,B
36,A
37,E
38,E
39,B
40,E
41,E
42,E
43,E
44,E
45,E
46,E
47,E
48,B
49,B
50,E
51,E
52,E
53,E
54,A
55,B
56,E
57,E
58,B
59,B
60,E
61,E
62,E
63,E
64,B
65,E
66,B
67,E
68,E
69,A
70,E
71,E
72,E
73,A
74,E
75,E
76,E
77,E
78,B
79,E
80,E
81,E
82,A
83,E
84,E
85,E
86,E
87,E
88,E
89,B
90,E
91,E
92,E
93,B
94,A
95,E
96,A
97,E
98,E
99,B
100,B
101,B
102,B
103,E
104,E
105,E
106,E
107,E
108,E
109,E
110,B
111,B
112,E
113,E
114,E
115,B
116,B
117,A
118,B
119,E
120,E
121,B
122,E
123,E
124,E
125,E
126,E
127,E
128,E
129,E
130,B
131,E
132,E
133,B
134,E
135,A
136,B
137,B
138,E
139,B
140,A
141,E
142,B
143,E
144,E
145,A
146,E
147,E
148,E
149,B
150,A
151,E
152,B
153,E
154,A
155,E
156,B
157,B
158,V
159,E
160,E
161,E
162,E
163,B
164,B
165,B
166,E
167,B
168,E
169,E
170,E
171,E
172,E
173,B
174,E
175,B
176,V
177,V
178,E
179,E
180,E
181,E
182,E
183,E
184,E
185,A
186,E
187,E
188,B
189,B
190,E
191,E
192,B
193,B
194,E
195,B
196,A
197,B
198,E
199,E
200,E
201,E
202,E
203,B
204,B
205,E
206,B
207,A
208,B
209,E
210,E
211,B
212,B
213,E
214,V
215,E
216,E
217,A
218,E
219,E
220,E
221,E
222,B
223,E
224,B
225,B
226,E
227,B
228,E
229,E
230,B
231,A
232,E
233,E
234,E
235,E
236,E
237,E
238,E
239,E
240,E
241,E
242,E
243,B
244,E
245,E
246,B
247,E
248,E
249,B
250,E
251,E
252,E
253,B
254,E
255,E
256,B
257,V
258,E
259,E
260,A
261,E
262,B
263,E
264,E
265,E
266,E
267,B
268,B
269,E
270,E
271,E
272,A
273,B
274,E
275,E
276,E
277,A
278,E
279,A
280,B
281,E
282,E
283,E
284,E
285,A
286,V
287,B
288,E
289,E
290,E
291,B
292,B
293,E
294,V
295,A
296,B
297,E
298,E
299,E
300,E
301,E
302,B
303,E
304,E
305,B
306,E
307,B
308,E
309,E
310,E
311,E
312,E
313,B
314,B
315,A
316,E
317,E
318,E
319,E
320,B
321,B
322,E
323,E
324,E
325,E
326,B
327,E
328,E
329,A
330,B
331,E
332,A
333,E
334,B
335,A
336,E
337,E
338,E
339,E
340,E
341,E
342,A
343,E
344,E
345,E
346,E
347,E
348,B
349,E
350,B
351,E
352,E
353,E
354,E
355,B
356,E
357,A
358,B
359,E
360,E
361,E
362,E
363,E
364,B
365,B
366,B
367,A
368,E
369,E
370,A
371,E
372,E
373,E
374,A
375,E
376,E
377,B
378,E
379,E
380,E
381,E
382,E
383,E
384,A
385,E
386,E
387,A
388,V
389,V
390,E
391,E
392,E
393,E
394,E
395,E
396,E
397,E
398,E
399,E
400,E
401,A
402,B
403,E
404,B
405,B
406,E
407,E
408,E
409,E
410,E
411,E
412,E
413,E
414,B
415,B
416,E
417,A
418,E
419,E
420,A
421,E
422,B
423,E
424,E
425,E
426,B
427,E
428,E
429,E
430,A
431,E
432,E
433,E
434,E
435,E
436,E
437,E
438,E
439,B
440,E
441,E
442,E
443,E
444,E
445,E
446,A
447,B
448,A
449,E
450,B
451,B
452,E
453,B
454,A
455,E
456,B
457,E
458,E
459,E
460,E
461,E
462,E
463,E
464,E
465,A
466,E
467,B
468,B
469,B
470,B
471,E
472,E
473,B
474,E
475,E
476,E
477,B
478,E
479,E
480,E
481,A
482,B
483,B
484,E
485,B
486,E
487,B
488,E
489,E
490,E
491,A
492,E
493,A
494,E
495,E
496,E
497,A
498,B
499,E
500,E
501,E
502,E
503,B
504,B
505,E
506,E
507,E
508,E
509,E
510,B
511,E
512,E
513,A
514,A
515,B
516,E
517,B
518,B
519,A
520,E
521,B
522,B
523,E
524,E
525,E
526,B
527,A
528,E
529,B
530,E
531,B
532,B
533,E
534,E
535,B
536,E
537,E
538,E
539,E
540,V
541,E
542,B
543,E
544,E
545,E
546,A
547,E
548,E
549,B
550,B
551,B
552,B
553,E
554,B
555,E
556,B
557,E
558,B
559,B
560,B
561,E
562,A
563,B
564,E
565,E
566,E
567,E
568,E
569,E
570,E
571,E
572,E
573,A
574,B
575,E
576,B
577,A
578,E
579,E
580,E
581,E
582,B
583,E
584,E
585,E
586,E
587,E
588,B
589,E
590,B
591,E
592,A
593,E
594,E
595,B
596,B
597,B
598,B
599,B
600,B
601,E
602,E
603,B
604,E
605,E
606,E
607,B
608,E
609,E
610,B
611,E
612,B
613,E
614,B
615,B
616,A
617,B
618,B
619,E
620,E
621,E
622,E
623,E
624,E
625,A
626,E
627,B
628,A
629,B
630,E
631,E
632,E
633,E
634,E
635,B
636,B
637,E
638,E
639,B
640,A
641,E
642,B
643,E
644,E
645,A
646,V
647,E
648,B
649,E
650,B
651,E
652,E
653,E
654,E
655,E
656,E
657,E
658,B
659,B
660,B
661,E
662,E
663,E
664,E
665,B
666,B
667,E
668,E
669,E
670,E
671,E
672,E
673,E
674,B
675,E
676,E
677,E
678,A
679,E
680,E
681,A
682,E
683,B
684,E
685,E
686,B
687,B
688,E
689,A
690,E
691,B
692,B
693,B
694,E
695,A
696,B
697,E
698,E
699,B
700,E
701,E
702,E
703,A
704,E
705,E
706,E
707,B
708,B
709,E
710,B
711,E
712,E
713,E
714,B
715,E
716,B
717,E
718,E
719,E
720,E
721,E
722,E
723,E
724,E
725,B
726,E
727,E
728,E
729,E
730,E
731,E
732,B
733,A
734,E
735,E
736,B
737,E
738,E
739,E
740,E
741,A
742,E
743,E
744,A
745,E
746,E
747,E
748,E
749,E
750,A
751,A
752,B
753,E
754,E
755,B
756,E
757,E
758,E
759,B
760,E
761,E
762,E
763,E
764,B
765,B
766,B
767,E
768,E
769,E
770,A
771,E
772,E
773,E
774,E
775,A
776,B
777,B
778,E
779,B
780,E
781,B
782,B
783,E
784,V
785,B
786,B
787,E
788,A
789,E
790,B
791,E
792,E
793,V
794,E
795,E
796,E
797,E
798,A
799,V
800,E
801,E
802,B
803,E
804,B
805,E
806,E
807,B
808,E
809,E
810,E
811,E
812,A
813,B
814,E
815,B
816,B
817,B
818,E
819,E
820,E
821,B
822,E
823,A
824,B
825,E
826,E
827,E
828,B
829,A
830,E
831,E
832,B
833,E
834,E
835,A
836,E
837,E
838,E
839,B
840,B
841,E
842,E
843,E
844,E
845,B
846,E
847,E
848,E
849,E
850,E
851,E
852,E
853,E
854,E
855,E
856,E
857,E
858,E
859,B
860,B
861,E
862,B
863,E
864,E
865,E
866,E
867,B
868,B
869,A
870,B
871,B
872,B
873,B
874,E
875,E
876,E
877,E
878,E
879,E
880,E
881,E
882,E
883,E
884,B
885,E
886,B
887,B
888,B
889,E
890,E
891,E
892,E
893,E
894,E
895,B
896,A
897,A
898,E
899,E
900,E
901,E
902,E
903,E
904,E
905,E
906,E
907,E
908,E
909,E
910,E
911,E
912,E
913,E
914,B
915,E
916,B
917,E
918,A
919,E
920,A
921,E
922,B
923,A
924,E
925,E
926,E
927,A
928,E
929,B
930,E
931,E
932,E
933,E
934,B
935,E
936,E
937,E
938,A
939,E
940,E
941,E
942,B
943,E
944,A
945,E
946,E
947,E
948,E
949,E
950,E
951,A
952,B
953,E
954,E
955,E
956,E
957,V
958,B
959,E
960,E
961,E
962,B
963,B
964,B
965,B
966,E
967,E
968,A
969,B
970,E
971,E
972,B
973,A
974,E
975,E
976,E
977,B
978,B
979,E
980,E
981,E
982,E
983,B
984,E
985,B
986,E
987,B
988,B
989,E
990,A
991,E
992,E
993,B
994,E
995,B
996,B
997,A
998,E
999,E
1000,E
